name ts   x y z   roll pitch yaw  err delay
HR_6 1787064780.322414000 1.000000   6.01644e-13 0.225667 -2.76313e-12   2.63288e-08 -2.9559e-17 0.0001   3.6e-05
QR_4 1787064780.322414000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3.6e-05
HR_6 1787064780.332414000 1.000000   6.02074e-13 0.225677 -2.7649e-12   2.63456e-08 -2.95715e-17 0.0001   7.6e-05
QR_4 1787064780.332414000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   7.6e-05
HR_6 1787064780.342414000 1.000000   6.02393e-13 0.225685 -2.76631e-12   2.6359e-08 -2.95964e-17 0.0001   7.9e-05
QR_4 1787064780.342414000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   7.9e-05
HR_6 1787064780.352414000 1.000000   6.02726e-13 0.225693 -2.76772e-12   2.63724e-08 -2.95627e-17 0.0001   7.9e-05
QR_4 1787064780.352414000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   7.9e-05
HR_6 1787064780.362414000 1.000000   6.03045e-13 0.225701 -2.76913e-12   2.63859e-08 -2.96421e-17 0.0001   3.8e-05
QR_4 1787064780.362414000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3.8e-05
HR_6 1787064780.372414000 1.000000   6.03406e-13 0.225711 -2.77089e-12   2.64027e-08 -2.96684e-17 0.0001   3.8e-05
QR_4 1787064780.372414000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   3.8e-05
HR_6 1787064780.382414000 1.000000   6.03739e-13 0.225719 -2.7723e-12   2.64161e-08 -2.97637e-17 0.0001   5e-05
QR_4 1787064780.382414000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   5e-05
HR_6 1787064780.392414000 1.000000   6.04156e-13 0.225729 -2.77407e-12   2.64329e-08 -2.97762e-17 0.0001   0.000151
QR_4 1787064780.392414000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.000151
HR_6 1787064780.402414000 1.000000   6.0453e-13 0.225739 -2.77583e-12   2.64497e-08 -2.98118e-17 0.0001   0.000161
QR_4 1787064780.402414000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.000161
HR_6 1787064780.412415000 1.000000   6.0485e-13 0.225747 -2.77724e-12   2.64632e-08 -2.98464e-17 0.0001   8.9e-05
QR_4 1787064780.412415000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   8.9e-05
HR_6 1787064780.422415000 1.000000   6.05266e-13 0.225757 -2.779e-12   2.648e-08 -2.99289e-17 0.0001   2.5e-05
QR_4 1787064780.422415000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   2.5e-05
HR_6 1787064780.432415000 1.000000   6.05543e-13 0.225765 -2.78041e-12   2.64934e-08 -2.9989e-17 0.0001   0.001986
QR_4 1787064780.432415000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.001986
HR_6 1787064780.442415000 1.000000   6.05863e-13 0.225773 -2.78183e-12   2.65069e-08 -3.00899e-17 0.0001   5.3e-05
QR_4 1787064780.442415000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   5.3e-05
HR_6 1787064780.452415000 1.000000   6.06293e-13 0.225783 -2.78359e-12   2.65237e-08 -3.01249e-17 0.0001   8e-06
QR_4 1787064780.452415000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   8e-06
HR_6 1787064780.462415000 1.000000   6.06612e-13 0.225791 -2.785e-12   2.65371e-08 -3.02038e-17 0.0001   5.5e-05
QR_4 1787064780.462415000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   5.5e-05
HR_6 1787064780.472415000 1.000000   6.06987e-13 0.225801 -2.78676e-12   2.65539e-08 -3.02088e-17 0.0001   1.3e-05
QR_4 1787064780.472415000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1.3e-05
HR_6 1787064780.482415000 1.000000   6.07403e-13 0.225811 -2.78853e-12   2.65707e-08 -3.02205e-17 0.0001   0.002213
QR_4 1787064780.482415000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.002213
HR_6 1787064780.492415000 1.000000   6.07625e-13 0.225817 -2.78958e-12   2.65808e-08 -3.02182e-17 0.0001   0.000964
QR_4 1787064780.492415000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   0.000964
HR_6 1787064780.502415000 1.000000   6.08055e-13 0.225827 -2.79135e-12   2.65976e-08 -3.0252e-17 0.0001   1e-05
QR_4 1787064780.502415000 -1.000000   2.22045e-16 0.0299999 7.82843e-18   5.12991e-10 1.80046e-18 0.0001   1e-05
HR_6 1787064780.512416000 1.000000   6.08374e-13 0.225835 -2.79276e-12   2.6611e-08 -3.02468e-17 0.0001   5.5e-05
