# pom logged on Tue Aug 18 14:52:59 2026
#
# decimation 1
# process model constant_acceleration
# process noise acc 100 m/s³, aacc 50 rad/s²
# magnetic field X 23.8 µT, Y -0.4 µT, Z -39.8 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1787064796.271215000 0 1 1 1 1 1 0.0272457 -0.0355315 0.0330101 -0.00653036 -0.00723437 0.0399171 0.0137004 0.0288982 0.00414951 -0.00174544 0.0112454 0.0469799 0.162224 0.119521 -0.0189468 1.36699e-08 1.36699e-08 1.2553e-08 1.12796e-06 1.1279e-06 1.1399e-06 5.257e-06 5.25703e-06 5.05774e-06 5.257e-06 5.25703e-06 5.05774e-06 0.0577289 0.0577289 0.0577195
1787064796.272060000 0 1 1 1 1 1 0.0272574 -0.0355071 0.0330136 -0.00653145 -0.00722481 0.0399568 0.0138375 0.0289992 0.0041335 -0.00174544 0.0112454 0.0469799 0.162224 0.119521 -0.0189468 1.38579e-08 1.38579e-08 1.27164e-08 1.34655e-06 1.34648e-06 1.35849e-06 6.14842e-06 6.14846e-06 5.94704e-06 6.14842e-06 6.14846e-06 5.94704e-06 0.0620915 0.0620915 0.0620821
1787064796.273533000 0 1 1 1 1 1 0.0272345 -0.0354764 0.0330791 -0.00662785 -0.00726836 0.0400501 0.0132632 0.028324 0.00154137 -0.00963461 0.00850001 0.0452128 0.113653 0.0464245 -0.289305 1.23026e-08 1.23027e-08 1.13911e-08 1.45997e-07 1.45989e-07 1.57753e-07 1.432e-06 1.43202e-06 1.25198e-06 1.432e-06 1.43202e-06 1.25198e-06 0.012891 0.012891 0.0128813
1787064796.274093000 0 1 1 1 1 1 0.0272419 -0.0354605 0.0330799 -0.00663305 -0.00726338 0.0400755 0.0133268 0.02835 0.00137942 -0.00963461 0.00850001 0.0452128 0.113653 0.0464245 -0.289305 1.23954e-08 1.23954e-08 1.147e-08 1.60181e-07 1.60173e-07 1.71911e-07 1.51664e-06 1.51667e-06 1.3353e-06 1.51664e-06 1.51667e-06 1.3353e-06 0.0146824 0.0146824 0.0146727
1787064796.276585000 0 1 1 1 1 1 0.0272755 -0.0353897 0.0330824 -0.00665619 -0.00724125 0.0401883 0.0136101 0.0284657 0.000658412 -0.00963461 0.00850001 0.0452128 0.113653 0.0464245 -0.289305 1.28251e-08 1.28251e-08 1.18358e-08 3.1751e-07 3.17494e-07 3.29126e-07 2.28585e-06 2.28587e-06 2.09857e-06 2.28585e-06 2.28587e-06 2.09857e-06 0.031109 0.031109 0.0310993
1787064796.277103000 0 1 1 1 1 1 0.0272718 -0.035364 0.0330832 -0.00666712 -0.00733725 0.0401728 0.0114518 0.0307404 0.000604226 -0.00982057 -0.0040491 0.0402829 -0.126846 0.290454 -0.278934 1.28981e-08 1.28981e-08 1.18952e-08 1.58271e-07 1.58263e-07 1.70215e-07 1.45718e-06 1.45721e-06 1.26888e-06 1.45718e-06 1.45721e-06 1.26888e-06 0.014873 0.014873 0.0148636
1787064796.278037000 0 1 1 1 1 1 0.0272824 -0.0353352 0.0330837 -0.00667644 -0.00734066 0.0402105 0.0113334 0.0310117 0.000343667 -0.00982057 -0.0040491 0.0402829 -0.126846 0.290454 -0.278934 1.30616e-08 1.30616e-08 1.20337e-08 1.95831e-07 1.9582e-07 2.07773e-07 1.64071e-06 1.64073e-06 1.45017e-06 1.64071e-06 1.64073e-06 1.45017e-06 0.0198885 0.0198885 0.0198791
1787064796.279597000 0 1 1 1 1 1 0.0272934 -0.0352797 0.0330844 -0.00670103 -0.00740076 0.0402729 0.00961042 0.033032 2.91176e-05 -0.0107223 -0.0114551 0.0401912 -0.315364 0.484185 -0.264028 1.33317e-08 1.33318e-08 1.2261e-08 1.38096e-07 1.38089e-07 1.50049e-07 1.37382e-06 1.37384e-06 1.17952e-06 1.37382e-06 1.37384e-06 1.17952e-06 0.0131088 0.0131088 0.0130995
1787064796.280105000 0 1 1 1 1 1 0.0272966 -0.0352642 0.0330837 -0.00671699 -0.00741729 0.0402762 0.00897559 0.0328947 -0.000287758 -0.0126473 -0.0136568 0.0369736 -0.393307 0.421282 -0.294028 1.34208e-08 1.34209e-08 1.23358e-08 1.10719e-07 1.10713e-07 1.22672e-07 1.22635e-06 1.22637e-06 1.03079e-06 1.22635e-06 1.22637e-06 1.03079e-06 0.0071446 0.00714459 0.00713526
1787064796.281072000 0 1 1 1 1 1 0.0273051 -0.0352322 0.0330833 -0.00672974 -0.00742999 0.040312 0.00859534 0.033302 -0.000572021 -0.0126473 -0.0136568 0.0369736 -0.393307 0.421282 -0.294028 1.35953e-08 1.35953e-08 1.24828e-08 1.29637e-07 1.2963e-07 1.4159e-07 1.32328e-06 1.32329e-06 1.12534e-06 1.32328e-06 1.32329e-06 1.12534e-06 0.012369 0.012369 0.0123597
