# logged on Tue Aug 18 14:52:59 2026
#
# Rotor commands low-pass filter cut-off frequency
# { fc 0 }
# IMU calibration (0°C average)
# gscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# gbias {
#  0                    0  1                    0  2                    0
# }
# gstddev {
#  0                 0.01  1                 0.01  2                 0.01
# }
# ascale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# abias {
#  0                    0  1                    0  2                    0
# }
# astddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
# mscale {
#  0                    1  1                    0  2                    0
#  3                    0  4                    1  5                    0
#  6                    0  7                    0  8                    1
# }
# mbias {
#  0                    0  1                    0  2                    0
# }
# mstddev {
#  0                 0.05  1                 0.05  2                 0.05
# }
#
# IMU low-pass filter cutoff frequencies
# gfc { x 20  y 20  z 20 }
# afc { x 5  y 5  z 5 }
# mfc { x 0  y 0  z 0 }
#
# sensor rate
# { imu 1000 mag 0 motor 20 battery 1 }
ts imu_rate mag_rate motor_rate bat imu_temp imu_wx imu_wy imu_wz raw_wx raw_wy raw_wz imu_ax imu_ay imu_az raw_ax raw_ay raw_az mag_x mag_y mag_z raw_mx raw_my raw_mz cmd_v0 cmd_v1 cmd_v2 cmd_v3 cmd_v4 cmd_v5 cmd_v6 cmd_v7 meas_v0 thro0 cons0 meas_v1 thro1 cons1 meas_v2 thro2 cons2 meas_v3 thro3 cons3 meas_v4 thro4 cons4 meas_v5 thro5 cons5 meas_v6 thro6 cons6 meas_v7 thro7 cons7 clk0 clk1 clk2 clk3 clk4 clk5 clk6 clk7
1787064779.766846000  191.075 0 7.45961e-09  16  nan  -0.000565928 -0.000512575 -0.000448808  0.0015979 0 -0.0015979  -0.000208247 0.0191487 9.81417  0.00239502 0 9.81958  2.364e-05 -3.4e-07 -3.98e-05  2.364e-05 -3.4e-07 -3.98e-05  - - - - - - - - 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan nan nan nan nan 0 0 0 0 0 0 0 0
1787064779.793212000  352.846 0 644.494  -  nan  8.06664e-07 0.00146801 0.000861109  0.00479369 0.00319579 0.000532632  -9.87839e-05 0.0153019 9.81613  0.0287402 0.0119751 9.8124  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.794330000  359.922 0 644.494  -  nan  0.000179098 0.00124466 0.000170374  0.0015979 -0.000532632 -0.00532632  0.000414875 0.0143251 9.81529  0.0167651 -0.0167651 9.78844  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1787064779.796108000  359.922 0 644.494  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.799360000  358.67 0 644.494  -  nan  0.000654774 0.000812153 -0.00130824  0.00106526 0.0015979 0  0.00231775 0.0115822 9.8134  0.0167651 0.0119751 9.82916  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.800099000  358.67 0 644.494  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.801082000  358.67 0 644.494  -  nan  0.0007006 0.00089987 -0.0011622  0.00106526 0.0015979 0  0.0027578 0.0115942 9.81388  0.0167651 0.0119751 9.82916  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.802075000  374.198 0 644.494  -  nan  0.000622388 0.000799412 -0.00103245  0 0 0  0.0026738 0.0120435 9.8142  0 0.0263452 9.82437  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.803066000  380.994 0 644.494  -  nan  0.000552908 0.00071017 -0.000917196  0 0 0  0.00259236 0.0124791 9.81451  0 0.0263452 9.82437  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.805381000  388.407 0 644.494  -  nan  0.000788486 0.00104711 -0.00117157  0.00266316 0.00372843 -0.00319579  0.0025134 0.0122449 9.8154  0 0.00479004 9.84353  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.809227000  387.177 0 644.494  -  nan  -0.000915185 -0.000955001 0.00208286  -0.00372843 -0.00426106 0.00745685  0.000827202 0.0141646 9.81783  -0.0119751 0.0287402 9.83635  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.810181000  387.177 0 644.494  -  nan  -0.000813018 -0.00084839 0.00173142  0 0 -0.00106526  0.00123971 0.0143168 9.8184  0.0143701 0.0191602 9.83635  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.811197000  387.177 0 644.494  -  nan  -0.000603335 -0.000753679 0.0018949  0.00106526 0 0.00319579  0.000764246 0.0131512 9.81909  -0.0143701 -0.0239502 9.84114  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.812187000  400.004 0 644.494  -  nan  -0.000417061 -0.000669542 0.00204012  0.00106526 0 0.00319579  0.000303268 0.0120212 9.81976  -0.0143701 -0.0239502 9.84114  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.813103000  406.52 0 644.494  -  nan  -0.000251581 -0.000594798 0.00216914  0.00106526 0 0.00319579  -0.000143669 0.0109255 9.82041  -0.0143701 -0.0239502 9.84114  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.814080000  406.52 0 644.494  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.815098000  419.548 0 644.494  -  nan  -2.01643e-05 -0.00101755 0.00217427  0.0015979 -0.0015979 0.00319579  0.000364489 0.0126374 9.81961  0.00479004 0.0359253 9.84832  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.816118000  426.476 0 644.494  -  nan  0.000160468 -0.00108234 0.00228831  0.0015979 -0.0015979 0.00319579  0.000499287 0.0133468 9.82049  0.00479004 0.0359253 9.84832  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.817089000  431.294 0 644.494  -  nan  -9.52876e-05 -0.00096151 0.00215178  -0.00213053 0 0.00106526  0.000629979 0.0134509 9.82009  0.00479004 0.0167651 9.8076  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.818202000  437.934 0 644.494  -  nan  -0.000322492 -0.000854171 0.00203048  -0.00213053 0 0.00106526  0.000756691 0.0135518 9.81971  0.00479004 0.0167651 9.8076  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.819082000  443.666 0 644.494  -  nan  -0.000524333 -0.000758816 0.00192273  -0.00213053 0 0.00106526  0.000879543 0.0136497 9.81934  0.00479004 0.0167651 9.8076  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.820085000  448.762 0 644.494  -  nan  -0.0010604 -0.000971408 0.00158917  -0.00532632 -0.00266316 -0.00106526  0.00114455 0.0129421 9.82023  0.00958008 -0.00958008 9.84832  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.821085000  454.354 0 644.494  -  nan  -0.00106095 -0.00116027 0.00170906  -0.00106526 -0.00266316 0.00266316  0.00132854 0.0125479 9.81955  0.00718506 0 9.79802  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.822078000  459.832 0 644.494  -  nan  -0.00106143 -0.00132804 0.00181557  -0.00106526 -0.00266316 0.00266316  0.00150692 0.0121657 9.81889  0.00718506 0 9.79802  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.823084000  465.242 0 644.494  -  nan  -0.00124024 -0.00189331 0.00155343  -0.00266316 -0.00639159 -0.000532632  0.00124217 0.0123788 9.8187  -0.00718506 0.0191602 9.8124  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.824077000  470.243 0 644.494  -  nan  -0.00139909 -0.00239548 0.00132055  -0.00266316 -0.00639159 -0.000532632  0.00098549 0.0125853 9.8185  -0.00718506 0.0191602 9.8124  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.827299000  486.335 0 644.494  -  nan  -0.000980886 -0.000883402 0.00124424  0 0.00266316 0.00106526  0.00280842 0.0110455 9.81733  0.0215552 -0.00479004 9.80521  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.828080000  491.18 0 644.494  -  nan  -0.000871385 -0.000487481 0.00122426  0 0.00266316 0.00106526  0.00337943 0.0105632 9.81696  0.0215552 -0.00479004 9.80521  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.829080000  496.851 0 644.494  -  nan  -0.00101195 0.000280465 0.00126597  -0.00213053 0.00639159 0.0015979  0.00283879 0.0107521 9.81602  -0.0143701 0.0167651 9.78605  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.830091000  501.124 0 429.999  -  nan  -0.00113682 0.000962681 0.00130303  -0.00213053 0.00639159 0.0015979  0.00231463 0.0109352 9.8151  -0.0143701 0.0167651 9.78605  - - -  - - -  - - - - - - - - 0 9.87292 5.099 0 9.87292 5.099 0 9.87292 5.099 0 9.87292 5.099 - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.831082000  507.2 0 429.999  -  nan  -0.000593689 0.000974133 0.00121703  0.00372843 0.00106526 0.000532632  0.00260887 0.0103103 9.81407  0.0119751 -0.00958008 9.78126  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.832329000  512.009 0 429.999  -  nan  -0.000111189 0.000984307 0.00114062  0.00372843 0.00106526 0.000532632  0.00289416 0.0097045 9.81307  0.0119751 -0.00958008 9.78126  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1787064779.836080000  512.009 0 429.999  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.837210000  515.889 0 429.999  -  nan  0.000198526 0.0010528 0.00125113  0.00266316 0.0015979 0.00213053  0.00214946 0.00940891 9.81349  -0.0215552 0 9.82677  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.838079000  533.5 0 429.999  -  nan  0.000480249 0.00110825 0.000960831  0.000532632 0.00106526 -0.00213053  0.00160281 0.00818792 9.81516  0.00718506 -0.0215552 9.85551  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.839287000  538.076 0 429.999  -  nan  0.000307715 0.0013413 0.000318424  -0.00106526 0.00319579 -0.00479369  0.000970389 0.00786557 9.81522  -0.0191602 -0.00239502 9.81719  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.840776000  542.12 0 429.999  -  nan  0.000154442 0.00154832 -0.000252268  -0.00106526 0.00319579 -0.00479369  0.000357232 0.00755304 9.81528  -0.0191602 -0.00239502 9.81719  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.841077000  547.04 0 429.999  -  nan  -0.000219562 0.00167278 1.37361e-05  -0.00319579 0.00266316 0.00213053  -9.13486e-05 0.00666644 9.81512  -0.0143701 -0.0215552 9.81  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.842100000  552.052 0 429.999  -  nan  -0.000551814 0.00178334 0.000250045  -0.00319579 0.00266316 0.00213053  -0.000526266 0.00580683 9.81497  -0.0143701 -0.0215552 9.81  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.843088000  555.598 0 429.999  -  nan  -0.00025237 0.00176264 0.00016267  0.00213053 0.0015979 -0.000532632  -0.000437286 0.00562996 9.81511  0.00239502 0 9.81958  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0

1787064779.845221000  557.064 0 429.999  -  nan  1.36451e-05 0.00174425 8.50501e-05  0.00213053 0.0015979 -0.000532632  -0.000351017 0.00545848 9.81524  0.00239502 0 9.81958  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.846101000  564.405 0 429.999  -  nan  0.000249964 0.00172791 1.6095e-05  0.00213053 0.0015979 -0.000532632  -0.000267376 0.00529222 9.81538  0.00239502 0 9.81958  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.847096000  568.662 0 429.999  -  nan  0.00028152 0.00141609 -4.51623e-05  0.000532632 -0.00106526 -0.000532632  0.000689118 0.00520397 9.81507  0.0311353 0.00239502 9.80521  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.849009000  573.127 0 429.999  -  nan  0.000250092 0.00149585 -9.95811e-05  0 0.00213053 -0.000532632  0.00161648 0.00497252 9.81491  0.0311353 -0.00239502 9.81  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.849075000  573.127 0 429.999  -  -  - - -  - - -  - - -  - - -  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.850072000  575.799 0 429.999  -  nan  0.000222173 0.0015667 -0.000147925  0 0.00213053 -0.000532632  0.00251559 0.00474811 9.81476  0.0311353 -0.00239502 9.81  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.851087000  581.47 0 429.999  -  nan  0.000375752 0.00151072 -0.000250332  0.0015979 0.00106526 -0.00106526  0.00251192 0.00482233 9.81469  0.00239502 0.00718506 9.8124  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.852096000  585.746 0 429.999  -  nan  0.000512187 0.00146099 -0.000341307  0.0015979 0.00106526 -0.00106526  0.00250836 0.0048943 9.81462  0.00239502 0.00718506 9.8124  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.853089000  590.031 0 429.999  -  nan  0.00057393 0.0012979 -0.000481587  0.00106526 0 -0.0015979  0.00250491 0.00503703 9.81375  0.00239502 0.00958008 9.78605  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.854075000  593.944 0 429.999  -  nan  0.00062878 0.00115301 -0.000606206  0.00106526 0 -0.0015979  0.00250156 0.0051754 9.81291  0.00239502 0.00958008 9.78605  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
1787064779.855088000  598.219 0 429.999  -  nan  0.000677507 0.00102429 -0.000538532  0.00106526 0 0  0.00330076 0.00516366 9.81267  0.0287402 0.00479004 9.80521  - - -  - - -  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 0 0 0 0 0 0 0 0
