name ts   x y z   roll pitch yaw  err delay
QR_4 1787068298.088162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   4.7e-05
HR_6 1787068298.098162000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   3.8e-05
QR_4 1787068298.098162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.8e-05
HR_6 1787068298.108162000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   3e-05
QR_4 1787068298.108162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3e-05
HR_6 1787068298.118162000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.000556
QR_4 1787068298.118162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000556
HR_6 1787068298.128162000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.000102
QR_4 1787068298.128162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000102
HR_6 1787068298.138162000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   9e-06
QR_4 1787068298.138162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   9e-06
HR_6 1787068298.148162000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   1.4e-05
QR_4 1787068298.148162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.4e-05
HR_6 1787068298.158162000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   1.3e-05
QR_4 1787068298.158162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   1.3e-05
HR_6 1787068298.168162000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   3.2e-05
QR_4 1787068298.168162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   3.2e-05
HR_6 1787068298.178162000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.000101
QR_4 1787068298.178162000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000101
HR_6 1787068298.188163000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.002115
QR_4 1787068298.188163000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.002115
HR_6 1787068298.198150000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   2e-06
QR_4 1787068298.198150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2e-06
HR_6 1787068298.208150000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.000456
QR_4 1787068298.208150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000456
HR_6 1787068298.218150000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   5.9e-05
QR_4 1787068298.218150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   5.9e-05
HR_6 1787068298.228150000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   2.6e-05
QR_4 1787068298.228150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   2.6e-05
HR_6 1787068298.238150000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.002571
QR_4 1787068298.238150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.002571
HR_6 1787068298.248150000 0.677720   -0.746527 0.24 -1.75758e-07   -1.57539e-07 0.991996 0.0001   0.000274
QR_4 1787068298.248150000 -1.000000   2.22045e-16 0.0299999 2.57732e-17   5.12991e-10 9.48721e-19 0.0001   0.000274
