# pom logged on Tue Aug 18 15:51:37 2026
#
# decimation 1
# process model constant_acceleration
# process noise acc 100 m/s³, aacc 50 rad/s²
# magnetic field X 23.8 µT, Y -0.4 µT, Z -39.8 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1787068297.725627000 0 1 1 1 1 1 0.677715 -0.746526 0.240013 -2.9635e-05 1.10466e-05 0.991982 -0.000459904 0.000305782 0.000618472 -0.000211851 -0.000725653 -0.00113705 -0.00504968 0.000724555 0.00494577 3.15358e-08 3.15358e-08 3.14517e-08 5.74188e-07 5.74188e-07 5.7545e-07 8.33361e-06 8.33361e-06 8.13746e-06 8.33361e-06 8.33361e-06 8.13746e-06 0.0251992 0.0251992 0.0251564
1787068297.726705000 0 1 1 1 1 1 0.677715 -0.746526 0.240014 -3.23512e-05 5.05441e-06 0.991977 -0.000448492 0.000303247 0.000616184 0.000332762 -0.00141656 -0.00160576 -0.0029364 0.000309105 0.00399062 3.24893e-08 3.24893e-08 3.23981e-08 5.90439e-07 5.90439e-07 5.91701e-07 8.40255e-06 8.40255e-06 8.20127e-06 8.40255e-06 8.40255e-06 8.20127e-06 0.0219043 0.0219043 0.0218614
1787068297.728450000 0 1 1 1 1 1 0.677714 -0.746525 0.240015 -3.41028e-05 3.21612e-06 0.991974 -0.000453616 0.000303786 0.000623148 0.000332762 -0.00141656 -0.00160576 -0.0029364 0.000309105 0.00399062 3.40787e-08 3.40787e-08 3.39746e-08 7.26477e-07 7.26477e-07 7.27739e-07 8.98397e-06 8.98397e-06 8.77418e-06 8.98397e-06 8.98397e-06 8.77418e-06 0.0315392 0.0315392 0.0314963
1787068297.731766000 0 1 1 1 1 1 0.677714 -0.746525 0.240013 -1.88647e-05 -1.37781e-06 0.991974 -0.000420727 0.000288355 0.000586261 0.00122683 -0.000196494 -0.00134001 -0.000875513 -0.000426997 0.00405648 2.78055e-08 2.78055e-08 2.7734e-08 5.59897e-07 5.59897e-07 5.61145e-07 7.11008e-06 7.11008e-06 6.92345e-06 7.11008e-06 7.11008e-06 6.92345e-06 0.0268839 0.0268839 0.0268451
1787068297.732759000 0 1 1 1 1 1 0.677714 -0.746524 0.240014 -1.5824e-05 -6.60371e-07 0.991974 -0.000401549 0.000290262 0.000591894 0.00120394 0.000303138 -0.00102182 0.00172441 -0.000116382 0.00426405 2.85269e-08 2.85269e-08 2.84488e-08 4.21204e-07 4.21204e-07 4.22486e-07 6.39592e-06 6.39592e-06 6.20501e-06 6.39592e-06 6.39592e-06 6.20501e-06 0.00887445 0.00887445 0.00883566
1787068297.734033000 0 1 1 1 1 1 0.677713 -0.746524 0.240015 -1.46615e-05 -1.73317e-06 0.991973 -0.000399352 0.000290114 0.000597326 0.00120394 0.000303138 -0.00102182 0.00172441 -0.000116382 0.00426405 2.94824e-08 2.94824e-08 2.93952e-08 4.52686e-07 4.52686e-07 4.53968e-07 6.55009e-06 6.55009e-06 6.35351e-06 6.55009e-06 6.55009e-06 6.35351e-06 0.015336 0.015336 0.0152972
1787068297.734719000 0 1 1 1 1 1 0.677713 -0.746524 0.240015 -1.54922e-05 -2.52319e-06 0.991972 -0.000395154 0.000291892 0.000603017 0.00109578 6.96913e-05 -0.00103241 0.00219288 0.000172248 0.00469372 3.00036e-08 3.00036e-08 2.99112e-08 4.21838e-07 4.21838e-07 4.2312e-07 6.41819e-06 6.41819e-06 6.21851e-06 6.41819e-06 6.41819e-06 6.21851e-06 0.0104653 0.0104653 0.0104265
1787068297.735729000 0 1 1 1 1 1 0.677713 -0.746524 0.240016 -1.80863e-05 -3.74577e-06 0.991974 -0.000393738 0.000292037 0.000608125 0.000803946 -0.000495686 -0.000568854 0.00206777 0.000167381 0.00475156 3.07834e-08 3.07834e-08 3.06828e-08 4.21569e-07 4.21569e-07 4.22851e-07 6.41094e-06 6.41094e-06 6.20663e-06 6.41094e-06 6.41094e-06 6.20663e-06 0.0101416 0.0101416 0.0101027
1787068297.736767000 0 1 1 1 1 1 0.677712 -0.746523 0.240016 -2.14492e-05 -5.0712e-06 0.991976 -0.00039322 0.000291811 0.000612989 0.000490995 -0.00110082 -6.10563e-05 0.00180396 0.000102287 0.00474047 3.15986e-08 3.15986e-08 3.1489e-08 4.22493e-07 4.22493e-07 4.23775e-07 6.41689e-06 6.41689e-06 6.20774e-06 6.41689e-06 6.41689e-06 6.20774e-06 0.0102794 0.0102794 0.0102406
1787068297.737742000 0 1 1 1 1 1 0.677712 -0.746523 0.240017 -2.26918e-05 -7.52351e-06 0.991976 -0.00039012 0.000292936 0.000615063 0.000672322 -0.00136605 4.40312e-05 0.00202958 0.000274669 0.00431231 3.23766e-08 3.23766e-08 3.22581e-08 4.21967e-07 4.21967e-07 4.23249e-07 6.41893e-06 6.41893e-06 6.20515e-06 6.41893e-06 6.41893e-06 6.20515e-06 0.0101055 0.0101055 0.0100667
