# pom logged on Tue Aug 18 15:52:23 2026
#
# decimation 1
# process model constant_acceleration
# process noise acc 100 m/s³, aacc 50 rad/s²
# magnetic field X 23.8 µT, Y -0.4 µT, Z -39.8 µT
#
ts i posp attp velp avelp accp x y z roll pitch yaw vx vy vz wx wy wz ax ay az sx2 sy2 sz2 sr2 sp2 sh2 svx2 svy2 svz2 swx2 swy2 swz2 sax2 say2 saz2
1787068343.654710000 0 1 1 1 1 1 0.837477 -0.868455 0.240009 1.89802e-05 3.62405e-05 0.944607 -0.00021371 0.000557127 0.000632791 0.000611312 0.00214504 -0.000432276 0.00543656 0.00347179 -0.00086712 3.0665e-08 3.0665e-08 3.05712e-08 4.28562e-07 4.28562e-07 4.29767e-07 6.55877e-06 6.55877e-06 6.34915e-06 6.55877e-06 6.55877e-06 6.34915e-06 0.0100202 0.0100202 0.00998078
1787068343.655708000 0 1 1 1 1 1 0.837476 -0.868454 0.240009 2.19718e-05 3.77391e-05 0.944607 -0.000212444 0.00056578 0.000628535 0.000596788 0.00238179 -0.000505685 0.00471485 0.0043716 -0.00145512 3.14571e-08 3.14571e-08 3.13546e-08 4.28496e-07 4.28496e-07 4.29702e-07 6.56475e-06 6.56475e-06 6.35052e-06 6.56475e-06 6.56475e-06 6.35052e-06 0.00997662 0.00997662 0.00993717
1787068343.656708000 0 1 1 1 1 1 0.837476 -0.868454 0.24001 2.43622e-05 3.84051e-05 0.944607 -0.000211108 0.000573095 0.000623482 0.00065074 0.00237067 -0.0003827 0.00412486 0.00488569 -0.00208334 3.22637e-08 3.22637e-08 3.2152e-08 4.28502e-07 4.28502e-07 4.29708e-07 6.57139e-06 6.57139e-06 6.35245e-06 6.57139e-06 6.57139e-06 6.35245e-06 0.00995843 0.00995843 0.00991897
1787068343.657764000 0 1 1 1 1 1 0.837476 -0.868453 0.240011 2.72007e-05 3.95858e-05 0.944606 -0.00021018 0.000580391 0.000620861 0.000654724 0.00246929 -0.000511447 0.00353082 0.00525603 -0.00215635 3.31297e-08 3.31297e-08 3.30077e-08 4.29932e-07 4.29932e-07 4.31138e-07 6.58468e-06 6.58468e-06 6.36069e-06 6.58468e-06 6.58468e-06 6.36069e-06 0.0102927 0.0102927 0.0102532
1787068343.658854000 0 1 1 1 1 1 0.837477 -0.868455 0.240008 2.58407e-05 3.56618e-05 0.944605 -0.000200432 0.000551233 0.000586106 0.000537382 0.00189406 -0.000695961 0.00278869 0.00552793 -0.00185551 2.54978e-08 2.54978e-08 2.54279e-08 3.75839e-07 3.75839e-07 3.77099e-07 5.2141e-06 5.2141e-06 5.0278e-06 5.2141e-06 5.2141e-06 5.0278e-06 0.00416222 0.00416222 0.00412645
1787068343.662192000 0 1 1 1 1 1 0.837476 -0.868454 0.24001 3.20149e-05 3.79137e-05 0.944603 -0.000191123 0.000569686 0.000579912 0.000537382 0.00189406 -0.000695961 0.00278869 0.00552793 -0.00185551 2.76627e-08 2.76627e-08 2.75669e-08 4.66561e-07 4.66561e-07 4.67819e-07 5.63322e-06 5.63322e-06 5.43288e-06 5.63322e-06 5.63322e-06 5.43288e-06 0.0216173 0.0216173 0.0215815
1787068343.662828000 0 1 1 1 1 1 0.837476 -0.868453 0.240011 2.84505e-05 3.59825e-05 0.944602 -0.000188337 0.00057205 0.000579056 0.000410217 0.00112513 -0.000686039 0.00290755 0.00538224 -0.00181407 2.80891e-08 2.80891e-08 2.79877e-08 5.15035e-07 5.15035e-07 5.16294e-07 5.8251e-06 5.8251e-06 5.62199e-06 5.8251e-06 5.8251e-06 5.62199e-06 0.0264471 0.0264471 0.0264113
1787068343.663710000 0 1 1 1 1 1 0.837476 -0.868453 0.240011 2.94668e-05 3.6271e-05 0.944602 -0.000185773 0.000576798 0.000577456 0.000410217 0.00112513 -0.000686039 0.00290755 0.00538224 -0.00181407 2.86919e-08 2.86919e-08 2.85825e-08 6.49902e-07 6.49902e-07 6.51161e-07 6.38213e-06 6.38213e-06 6.17514e-06 6.38213e-06 6.38213e-06 6.17514e-06 0.0364429 0.0364429 0.0364072
1787068343.664746000 0 1 1 1 1 1 0.837476 -0.868452 0.240012 3.02947e-05 3.97223e-05 0.944599 -0.000179554 0.000575977 0.00057396 5.97037e-05 0.00132088 -0.000855005 0.0032764 0.00465186 -0.00199935 2.94029e-08 2.94029e-08 2.92835e-08 5.75027e-07 5.75027e-07 5.76288e-07 6.08811e-06 6.08811e-06 5.87648e-06 6.08811e-06 6.08811e-06 5.87648e-06 0.0261413 0.0261413 0.0261054
1787068343.665974000 0 1 1 1 1 1 0.837475 -0.868451 0.240013 3.5629e-05 4.57591e-05 0.944599 -0.00016852 0.000572145 0.000560882 -0.000175217 0.00211801 -0.000745099 0.00415882 0.00345058 -0.00333638 3.02535e-08 3.02535e-08 3.01216e-08 4.01332e-07 4.01332e-07 4.02593e-07 5.4462e-06 5.4462e-06 5.22896e-06 5.4462e-06 5.4462e-06 5.22896e-06 0.0125421 0.0125421 0.0125061
1787068343.670149000 0 1 1 1 1 1 0.837476 -0.868453 0.240011 2.70663e-05 3.96101e-05 0.944599 -0.000152279 0.000550914 0.000525025 3.96815e-06 2.74811e-05 -0.000438101 0.00252413 0.00408554 -0.00205273 2.52485e-08 2.52485e-08 2.51479e-08 3.51976e-07 3.51976e-07 3.53311e-07 4.38007e-06 4.38007e-06 4.18723e-06 4.38007e-06 4.38007e-06 4.18723e-06 0.00449686 0.00449686 0.00446346
1787068343.670728000 0 1 1 1 1 1 0.837476 -0.868452 0.240012 2.70805e-05 3.96175e-05 0.944599 -0.000150817 0.000553279 0.000523837 3.96815e-06 2.74811e-05 -0.000438101 0.00252413 0.00408554 -0.00205273 2.55801e-08 2.55801e-08 2.54744e-08 3.54549e-07 3.54549e-07 3.55883e-07 4.40692e-06 4.40692e-06 4.21167e-06 4.40692e-06 4.40692e-06 4.21167e-06 0.00584052 0.00584052 0.00580713
1787068343.672189000 0 1 1 1 1 1 0.837476 -0.868451 0.240013 2.71165e-05 3.96364e-05 0.944598 -0.00014713 0.000559248 0.000520838 3.96815e-06 2.74811e-05 -0.000438101 0.00252413 0.00408554 -0.00205273 2.64306e-08 2.64306e-08 2.63112e-08 3.76652e-07 3.76652e-07 3.77986e-07 4.54253e-06 4.54253e-06 4.34109e-06 4.54253e-06 4.54253e-06 4.34109e-06 0.0125433 0.0125433 0.0125099
1787068343.672767000 0 1 1 1 1 1 0.837475 -0.868451 0.240013 2.68272e-05 4.02699e-05 0.944598 -0.000147151 0.000562555 0.000519853 -0.000124692 5.01005e-05 -0.000390401 0.00231653 0.00421855 -0.00202441 2.67706e-08 2.67706e-08 2.66455e-08 3.61809e-07 3.61809e-07 3.63144e-07 4.43501e-06 4.43501e-06 4.23108e-06 4.43501e-06 4.43501e-06 4.23108e-06 0.00786693 0.00786693 0.00783344
